country,code,year,trade,gini,unemploy,gdp_pc,inflation,tax
Canada,CAN,1996,70.26007345603918,32.8,9.62,32801.30185491548,1.57053112507138,13.878492825359315
Canada,CAN,1997,74.33661008165224,33.1,9.1,33867.00791317428,1.62121638084531,14.567728347824168
Canada,CAN,1998,78.08118536286108,33.2,8.278,34894.61342802523,0.99594245665802,14.668397589042028
Canada,CAN,1999,80.11502931292954,33.1,7.583,36391.53532589573,1.73484295105918,14.699920727599594
Canada,CAN,2000,82.76535785032137,33.4,6.829,37906.86011532932,2.71943995691976,14.857743184610642
Canada,CAN,2001,78.34421839436978,33.6,7.219,38200.45611313585,2.52512013979906,14.181479814946682
Canada,CAN,2002,75.70703207792327,33.6,7.665,38921.66729551781,2.25839440940855,13.377627468507239
Canada,CAN,2003,69.84009461706073,33.8,7.574,39270.02345440729,2.75856321360112,13.22893471327173
Canada,CAN,2004,70.19241999095621,33.8,7.185,40108.758738975,1.85725871857256,13.344747867074336
Canada,CAN,2005,69.75913301673569,33.6,6.758,41006.222931999015,2.21355203439767,13.299492885697745
Canada,CAN,2006,68.0521644769988,34.1,6.484,41663.51230543771,2.00202539534161,13.348220669342112
Canada,CAN,2007,66.28341974823473,33.8,6.156,42106.8724267286,2.13838399266837,13.334432006896291
Canada,CAN,2008,67.02360836189833,33.9,6.284,42067.56869986234,2.37027067444299,12.390165596485298
Canada,CAN,2009,58.47439182248968,34,8.46,40376.41536770367,0.299466803009299,12.304385954863829
Canada,CAN,2010,60.20812150444825,33.6,8.178,41164.33990626593,1.77687154092627,11.732809298182643
Canada,CAN,2011,62.49873877083283,32.7,7.637,42043.641960701614,2.91213508872351,11.803921281262278
Canada,CAN,2012,62.59554893950049,33.5,7.392,42320.64312821917,1.51567823124517,11.664427363103757
Canada,CAN,2013,62.23107490134046,33.8,7.143,42851.17053302353,0.938291897815317,11.623504599029886
Canada,CAN,2014,64.3786621564923,33.2,7.023,43643.23564748477,1.90663590717861,11.80837907922063
Canada,CAN,2015,66.16490206697809,33.7,6.945,43594.194104539434,1.12524136094277,12.38981090632131
